Group,count,mean,std,min,25%,50%,75%,max
Control,8.0,30.480000000000004,6.8883649314312185,21.34,25.0025,29.619999999999997,36.0175,39.86
Treatment,8.0,88.75500000000001,4.217087688373176,83.21,85.09,88.785,92.025,94.68
